Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,27%,13,4,6,3,0,2,0,0,0,10,12,0,6,3,0,0,0,59% (131/223),0,0,0,0,0,Manchester Utd,2,0,Win,2019
0,39%,18,8,6,4,0,10,0,0,0,4,12,1,14,0,0,0,0,62% (172/276),0,0,0,0,0,Crystal Palace,2,3,Defeat,2019
0,27%,13,8,2,3,0,3,0,0,0,1,11,3,8,0,0,0,0,67% (147/220),0,0,0,0,0,Fulham,0,1,Defeat,2019
0,24%,7,2,2,3,0,5,0,0,0,4,7,4,6,1,0,0,0,55% (106/193),0,0,0,0,0,Liverpool,0,2,Defeat,2019
0,36%,10,3,3,4,0,4,0,0,0,2,15,0,13,1,0,0,0,61% (184/302),0,0,0,0,0,Brighton,2,0,Win,2019
0,54%,14,2,7,5,0,4,0,0,0,5,9,0,10,4,0,0,0,67% (233/349),0,0,0,0,0,Burnley,0,2,Defeat,2019
0,21%,4,1,2,1,0,4,0,0,0,9,5,1,7,3,0,0,0,0% (0/185),0,0,0,0,0,Manchester City,0,2,Defeat,2019
0,29%,8,3,4,1,0,2,0,0,0,1,15,2,8,2,0,0,0,0% (0/239),0,0,0,0,0,Chelsea,1,2,Defeat,2019
0,29%,16,7,6,3,0,7,0,0,0,2,9,2,7,2,0,0,0,0% (0/226),0,0,0,0,0,West Ham,2,0,Win,2019
0,44%,12,4,4,4,0,8,0,0,0,4,12,0,6,2,0,0,0,0% (0/354),0,0,0,0,0,Wolves,0,2,Defeat,2019
0,33%,6,0,5,1,0,3,0,0,0,1,13,3,12,3,0,0,0,0% (0/257),0,0,0,0,0,Everton,0,3,Defeat,2019
0,35%,15,6,5,4,0,3,0,0,0,2,12,3,10,1,0,0,0,0% (0/313),0,0,0,0,0,Watford,1,5,Defeat,2019
0,33%,6,3,3,0,0,2,0,0,0,6,15,3,12,3,0,0,0,0% (0/267),0,0,0,0,0,Southampton,2,1,Win,2019
0,27%,12,5,0,7,0,6,0,0,0,2,13,2,17,1,0,0,0,0% (0/218),0,0,0,0,0,Bournemouth,2,0,Win,2019
0,29%,19,2,9,8,0,7,0,0,0,2,13,1,12,3,0,0,0,0% (0/232),0,0,0,0,0,Arsenal,1,2,Defeat,2019
0,47%,9,1,5,3,0,10,0,0,0,3,12,0,6,1,0,0,0,0% (0/325),0,0,0,0,0,Newcastle,0,3,Defeat,2019
0,39%,3,0,0,3,0,3,0,0,0,2,16,3,12,3,0,0,0,0% (0/270),0,0,0,0,0,Huddersfield,0,0,Draw,2019
0,27%,6,3,2,1,0,5,0,0,0,1,8,6,6,1,0,0,0,0% (0/290),0,0,0,0,0,Tottenham,0,3,Defeat,2019
0,38%,12,3,3,6,0,4,0,0,0,7,12,1,16,2,0,0,0,0% (0/273),0,0,0,0,0,Leicester,1,0,Win,2019
0,37%,9,4,4,1,0,1,0,0,0,5,9,3,11,3,0,0,0,0% (0/303),0,0,0,0,0,Crystal Palace,0,0,Draw,2019
0,26%,9,3,5,1,0,4,0,0,0,4,12,3,13,2,0,0,0,0% (0/209),0,0,0,0,0,Manchester Utd,1,5,Defeat,2019
0,28%,10,3,4,3,0,0,0,0,0,5,9,1,5,0,0,0,0,0% (0/255),0,0,0,0,0,Watford,2,3,Defeat,2019
0,37%,13,4,8,1,0,7,0,0,0,1,11,4,9,2,0,0,0,0% (0/248),0,0,0,0,0,Southampton,1,0,Win,2019
0,39%,9,5,2,2,0,4,0,0,0,8,11,5,10,2,0,0,0,0% (0/295),0,0,0,0,0,West Ham,1,3,Defeat,2019
0,48%,17,3,8,6,0,7,0,0,0,3,12,2,3,1,0,0,0,0% (0/312),0,0,0,0,0,Wolves,2,1,Win,2019
0,29%,7,1,4,2,0,3,0,0,0,7,12,1,13,3,0,0,0,0% (0/220),0,0,0,0,0,Everton,0,1,Defeat,2019
0,60%,20,6,9,5,0,4,0,0,0,2,21,0,7,2,0,0,0,0% (0/472),0,0,0,0,0,Brighton,2,1,Win,2019
0,40%,11,2,8,1,0,6,0,0,0,4,15,4,13,2,0,0,0,0% (0/271),0,0,0,0,0,Leicester,0,1,Defeat,2019
0,20%,2,1,1,0,0,0,0,0,0,3,6,4,4,0,0,0,0,0% (0/207),0,0,0,0,0,Liverpool,1,4,Defeat,2019
0,40%,22,5,10,7,0,4,0,0,0,2,15,0,15,3,0,0,0,0% (0/313),0,0,0,0,0,Fulham,4,2,Win,2019
0,37%,10,4,3,3,0,3,0,0,0,5,11,1,7,1,0,19,0,0,0,0,0,0,0,Chelsea,1,2,Defeat,2014
0,46%,16,3,8,5,0,6,0,0,0,3,10,2,6,0,0,28,0,0,0,0,0,0,0,Newcastle,0,3,Defeat,2014
0,41%,13,1,4,8,0,5,0,0,0,3,9,0,11,3,1,23,0,0,0,0,0,0,0,Sunderland,0,4,Defeat,2014
0,43%,13,4,3,6,0,12,0,0,0,4,11,3,6,2,0,20,0,0,0,0,0,0,0,Stoke,1,1,Draw,2014
0,32%,6,4,2,0,0,5,0,0,0,7,9,2,7,0,0,12,0,0,0,0,0,0,0,Southampton,1,0,Win,2014
0,63%,13,4,4,5,0,10,0,0,0,5,13,0,5,2,0,29,0,0,0,0,0,0,0,Crystal Palace,0,3,Defeat,2014
0,58%,11,5,1,5,0,1,0,0,0,3,16,2,13,1,0,30,0,0,0,0,0,0,0,West Brom,3,3,Draw,2014
0,33%,9,3,4,2,0,4,0,0,0,3,13,0,14,2,0,18,0,0,0,0,0,0,0,Liverpool,3,6,Defeat,2014
0,32%,10,3,4,3,0,5,0,0,0,4,11,3,10,3,0,25,0,0,0,0,0,0,0,Everton,1,2,Defeat,2014
0,46%,19,9,6,4,0,7,0,0,0,5,13,0,9,1,0,27,0,0,0,0,0,0,0,Fulham,3,1,Win,2014
0,39%,8,2,2,4,0,7,0,0,0,5,11,5,12,3,0,21,0,0,0,0,0,0,0,Tottenham,0,1,Defeat,2014
0,56%,23,5,9,9,0,9,0,0,0,2,14,2,4,1,0,32,0,0,0,0,0,0,0,Hull,0,4,Defeat,2014
0,45%,12,3,6,3,0,7,0,0,0,6,12,4,5,0,0,24,0,0,0,0,0,0,0,Aston Villa,0,0,Draw,2014
0,38%,7,1,5,1,0,1,0,0,0,3,8,1,8,1,0,23,0,0,0,0,0,0,0,Swansea,0,3,Defeat,2014
0,49%,14,5,8,1,0,7,0,0,0,5,11,2,8,1,0,27,0,0,0,0,0,0,0,Norwich,2,1,Win,2014
0,54%,5,1,3,1,0,5,0,0,0,3,13,2,9,1,0,12,0,0,0,0,0,0,0,Manchester Utd,0,2,Defeat,2014
0,38%,7,6,0,1,0,7,0,0,0,5,9,3,5,0,0,14,0,0,0,0,0,0,0,Manchester City,2,4,Defeat,2014
0,63%,19,7,8,4,0,8,0,0,0,1,17,1,7,1,0,22,0,0,0,0,0,0,0,West Ham,0,2,Defeat,2014
0,32%,8,2,3,3,0,2,0,0,0,4,9,3,11,2,0,18,0,0,0,0,0,0,0,Arsenal,0,2,Defeat,2014
0,44%,16,7,7,2,0,7,0,0,0,7,12,0,14,3,0,19,0,0,0,0,0,0,0,Sunderland,2,2,Draw,2014
0,40%,9,0,8,1,0,6,0,0,0,3,15,2,11,1,0,28,0,0,0,0,0,0,0,Southampton,0,3,Defeat,2014
0,31%,10,3,6,1,0,5,0,0,0,4,13,1,13,0,0,21,0,0,0,0,0,0,0,Liverpool,1,3,Defeat,2014
0,48%,11,3,4,4,0,8,0,0,0,2,22,5,16,2,0,18,0,0,0,0,0,0,0,West Brom,1,0,Win,2014
0,57%,10,2,7,1,0,3,0,0,0,3,11,1,12,0,0,28,0,0,0,0,0,0,0,Crystal Palace,0,2,Defeat,2014
0,41%,14,3,4,7,0,5,0,0,0,2,16,3,12,2,0,26,0,0,0,0,0,0,0,Stoke,0,0,Draw,2014
0,44%,10,4,4,2,0,3,0,0,0,3,8,2,6,0,0,25,0,0,0,0,0,0,0,Arsenal,0,3,Defeat,2014
0,50%,14,4,9,1,0,2,0,0,0,3,17,0,15,4,0,21,0,0,0,0,0,0,0,Manchester Utd,2,2,Draw,2014
0,57%,8,2,5,1,0,3,0,0,0,4,15,7,3,1,0,40,0,0,0,0,0,0,0,Aston Villa,0,2,Defeat,2014
0,45%,9,3,3,3,0,6,0,0,0,3,12,3,11,1,0,27,0,0,0,0,0,0,0,Swansea,1,0,Win,2014
0,39%,6,4,1,1,0,2,0,0,0,10,9,3,10,1,0,17,0,0,0,0,0,0,0,Norwich,0,0,Draw,2014
